school_name,address,postal_code,mrt_desc,bus_desc,mainlevel_code,city,country
DUNMAN HIGH SCHOOL,10   TANJONG RHU ROAD,436895,"ALJUNIED MRT, KALLANG MRT, MOUNTBATTEN MRT","12, 14, 30, 158, 196",JUNIOR COLLEGE,Singapore,Singapore
TAMPINES JUNIOR COLLEGE,2 Tampines Avenue 9,529564,,,JUNIOR COLLEGE,Singapore,Singapore
