school_name,address,postal_code,mainlevel_code,,City,Country
GREENRIDGE SECONDARY SCHOOL,32   BUKIT PANJANG RING ROAD,679938,SECONDARY,,Singapore,Singapore
GUANGYANG SECONDARY SCHOOL,8    BISHAN STREET 12,579807,SECONDARY,,Singapore,Singapore
HAI SING CATHOLIC SCHOOL,9    PASIR RIS DRIVE 6,519421,SECONDARY,,Singapore,Singapore
HILLGROVE SECONDARY SCHOOL,10   BUKIT BATOK STREET 52,659250,SECONDARY,,Singapore,Singapore
HOLY INNOCENTS' HIGH SCHOOL,1191 UPPER SERANGOON ROAD,534786,SECONDARY,,Singapore,Singapore
HOUGANG SECONDARY SCHOOL,2    HOUGANG STREET 93,534256,SECONDARY,,Singapore,Singapore
HUA YI SECONDARY SCHOOL,60   JURONG WEST ST 42,649371,SECONDARY,,Singapore,Singapore
HWA CHONG INSTITUTION,661  BUKIT TIMAH ROAD,269734,MIXED LEVELS,,Singapore,Singapore
JUNYUAN SECONDARY SCHOOL,11   TAMPINES STREET 84,528933,SECONDARY,,Singapore,Singapore
JURONG SECONDARY SCHOOL,31   YUAN CHING ROAD,618652,SECONDARY,,Singapore,Singapore
JURONG WEST SECONDARY SCHOOL,61   JURONG WEST STREET 65,648348,SECONDARY,,Singapore,Singapore
JURONGVILLE SECONDARY SCHOOL,202  JURONG EAST AVENUE 1,609790,SECONDARY,,Singapore,Singapore
JUYING SECONDARY SCHOOL,33   JURONG WEST STREET 91,649038,SECONDARY,,Singapore,Singapore
KENT RIDGE SECONDARY SCHOOL,147  WEST COAST ROAD,127368,SECONDARY,,Singapore,Singapore
KRANJI SECONDARY SCHOOL,61   CHOA CHU KANG STREET 51,689333,SECONDARY,,Singapore,Singapore
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10   BISHAN STREET 13,579795,SECONDARY,,Singapore,Singapore
LOYANG VIEW SECONDARY SCHOOL,12   PASIR RIS STREET 11,519073,SECONDARY,,Singapore,Singapore
MANJUSRI SECONDARY SCHOOL,20   UBI AVENUE 1,408940,SECONDARY,,Singapore,Singapore
MARIS STELLA HIGH SCHOOL,25   MOUNT VERNON ROAD,368051,MIXED LEVELS,,Singapore,Singapore
MARSILING SECONDARY SCHOOL,12   MARSILING ROAD,739110,SECONDARY,,Singapore,Singapore
MAYFLOWER SECONDARY SCHOOL,2    ANG MO KIO STREET 21,569384,SECONDARY,,Singapore,Singapore
MERIDIAN SECONDARY SCHOOL,31   PASIR RIS STREET 51,518901,SECONDARY,,Singapore,Singapore
METHODIST GIRLS' SCHOOL (SECONDARY),11   BLACKMORE DRIVE,599986,SECONDARY,,Singapore,Singapore
MONTFORT SECONDARY SCHOOL,50   HOUGANG AVENUE 8,538785,SECONDARY,,Singapore,Singapore
NAN CHIAU HIGH SCHOOL,20   ANCHORVALE LINK,545079,SECONDARY,,Singapore,Singapore
NAN HUA HIGH SCHOOL,41   CLEMENTI AVENUE 1,129956,SECONDARY,,Singapore,Singapore
NANYANG GIRLS' HIGH SCHOOL,2    LINDEN DRIVE,288683,SECONDARY,,Singapore,Singapore
NATIONAL JUNIOR COLLEGE,37   HILLCREST ROAD,288913,MIXED LEVELS,,Singapore,Singapore
NAVAL BASE SECONDARY SCHOOL,901  YISHUN RING ROAD,768689,SECONDARY,,Singapore,Singapore
NEW TOWN SECONDARY SCHOOL,1020 DOVER ROAD,139657,SECONDARY,,Singapore,Singapore
NGEE ANN SECONDARY SCHOOL,1    TAMPINES STREET 32,529283,SECONDARY,,Singapore,Singapore
NORTH VISTA SECONDARY SCHOOL,11   RIVERVALE LINK,545081,SECONDARY,,Singapore,Singapore
NORTHBROOKS SECONDARY SCHOOL,585  YISHUN RING ROAD,768692,SECONDARY,,Singapore,Singapore
NORTHLAND SECONDARY SCHOOL,3    YISHUN STREET 22,768578,SECONDARY,,Singapore,Singapore
NORTHLIGHT SCHOOL,151  Towner Road,327830,SECONDARY,,Singapore,Singapore
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,20   Clementi Avenue 1,129957,MIXED LEVELS,,Singapore,Singapore
